ID_RRES_v5,Module
FGRAMPH1_01T01431,F01
FGRAMPH1_01T01433,F07
FGRAMPH1_01T01435,F01
FGRAMPH1_01T01439,F09
FGRAMPH1_01T01441,F02
FGRAMPH1_01T01443,F02
FGRAMPH1_01T01445,F06
FGRAMPH1_01T01447,F03
FGRAMPH1_01T01449,F01
FGRAMPH1_01T01451,F03
FGRAMPH1_01T01453,F01
FGRAMPH1_01T01455,F01
FGRAMPH1_01T01459,F02
FGRAMPH1_01T01461,F02
FGRAMPH1_01T01465,F03
FGRAMPH1_01T01467,F08
FGRAMPH1_01T01469,F06
FGRAMPH1_01T01471,F06
FGRAMPH1_01T01473,F03
FGRAMPH1_01T01475,F06
FGRAMPH1_01T01477,F02
FGRAMPH1_01T01479,F04
FGRAMPH1_01T01481,F07
FGRAMPH1_01T01483,F09
FGRAMPH1_01T01485,F02
FGRAMPH1_01T01489,F01
FGRAMPH1_01T01497,F14
FGRAMPH1_01T01499,F02
FGRAMPH1_01T01501,F05
FGRAMPH1_01T01503,F05
FGRAMPH1_01T01505,F02
FGRAMPH1_01T01507,F05
FGRAMPH1_01T01509,F06
FGRAMPH1_01T01513,F01
FGRAMPH1_01T01517,F01
FGRAMPH1_01T01519,F08
FGRAMPH1_01T01521,F11
FGRAMPH1_01T01523,F14
FGRAMPH1_01T01525,F01
FGRAMPH1_01T01527,F04
FGRAMPH1_01T01529,F04
FGRAMPH1_01T01531,F02
FGRAMPH1_01T01533,F01
FGRAMPH1_01T01535,F01
FGRAMPH1_01T01541,F02
FGRAMPH1_01T01543,F07
FGRAMPH1_01T01547,F07
FGRAMPH1_01T01549,F09
FGRAMPH1_01T01551,F02
FGRAMPH1_01T01553,F01
FGRAMPH1_01T01555,F01
FGRAMPH1_01T01559,F01
FGRAMPH1_01T01561,F02
FGRAMPH1_01T01563,F02
FGRAMPH1_01T01565,F02
FGRAMPH1_01T01567,F02
FGRAMPH1_01T01569,F01
FGRAMPH1_01T01571,F03
FGRAMPH1_01T01573,F02
FGRAMPH1_01T01575,F06
FGRAMPH1_01T01577,F11
FGRAMPH1_01T01579,F02
FGRAMPH1_01T01583,F04
FGRAMPH1_01T01585,F02
FGRAMPH1_01T01589,F09
FGRAMPH1_01T01591,F02
FGRAMPH1_01T01595,F04
FGRAMPH1_01T01597,F07
FGRAMPH1_01T01599,F07
FGRAMPH1_01T01601,F10
FGRAMPH1_01T01603,F05
FGRAMPH1_01T01605,F06
FGRAMPH1_01T01607,F07
FGRAMPH1_01T01609,F02
FGRAMPH1_01T01611,F01
FGRAMPH1_01T01613,F05
FGRAMPH1_01T01615,F01
FGRAMPH1_01T01617,F05
FGRAMPH1_01T01619,F13
FGRAMPH1_01T01621,F05
FGRAMPH1_01T01623,F05
FGRAMPH1_01T01625,F02
FGRAMPH1_01T01627,F01
FGRAMPH1_01T01629,F09
FGRAMPH1_01T01631,F06
FGRAMPH1_01T01633,F02
FGRAMPH1_01T01637,F01
FGRAMPH1_01T01639,F04
FGRAMPH1_01T01641,F01
FGRAMPH1_01T01643,F01
FGRAMPH1_01T01645,F17
FGRAMPH1_01T01647,F08
FGRAMPH1_01T01651,F09
FGRAMPH1_01T01653,F05
FGRAMPH1_01T01655,F02
FGRAMPH1_01T01659,F05
FGRAMPH1_01T01661,F05
FGRAMPH1_01T01663,F02
FGRAMPH1_01T01665,F02
FGRAMPH1_01T01667,F07
FGRAMPH1_01T01673,F03
FGRAMPH1_01T01677,F01
FGRAMPH1_01T01679,F07
FGRAMPH1_01T01681,F02
FGRAMPH1_01T01687,F11
FGRAMPH1_01T01689,F01
FGRAMPH1_01T01691,F04
FGRAMPH1_01T01693,F01
FGRAMPH1_01T01695,F04
FGRAMPH1_01T01699,F06
FGRAMPH1_01T01701,F01
FGRAMPH1_01T01705,F05
FGRAMPH1_01T01707,F01
FGRAMPH1_01T01709,F02
FGRAMPH1_01T01713,F06
FGRAMPH1_01T01717,F02
FGRAMPH1_01T01719,F01
FGRAMPH1_01T01721,F02
FGRAMPH1_01T01723,F01
FGRAMPH1_01T01727,F05
FGRAMPH1_01T01731,F07
FGRAMPH1_01T01733,F13
FGRAMPH1_01T01735,F02
FGRAMPH1_01T01737,F05
FGRAMPH1_01T01739,F03
FGRAMPH1_01T01747,F02
FGRAMPH1_01T01749,F07
FGRAMPH1_01T01751,F07
FGRAMPH1_01T01753,F04
FGRAMPH1_01T01755,F02
FGRAMPH1_01T01757,F05
FGRAMPH1_01T01759,F09
FGRAMPH1_01T01761,F02
FGRAMPH1_01T01763,F02
FGRAMPH1_01T01765,F11
FGRAMPH1_01T01771,F04
FGRAMPH1_01T01779,F01
FGRAMPH1_01T01781,F01
FGRAMPH1_01T01783,F01
FGRAMPH1_01T01785,F13
