,logFC,logCPM,PValue,FDR
FGRAMPH1_01T09077,10.58280478,7.251762866,7.10E-40,4.17E-38
FGRAMPH1_01T09079,7.627136257,1.47395979,1.60E-05,6.39E-05
FGRAMPH1_01T09081,5.643160437,2.941008381,3.38E-12,2.87E-11
FGRAMPH1_01T09095,4.66532328,0.464845608,0.000319897,0.001012426
FGRAMPH1_01T09101,8.280088735,2.660081396,1.55E-13,1.47E-12
FGRAMPH1_01T09109,12.16335971,5.229951616,1.42E-31,4.75E-30
FGRAMPH1_01T09111,7.274181823,4.426364943,1.23E-13,1.18E-12
FGRAMPH1_01T09131,3.348491973,3.409906943,1.28E-17,1.66E-16
FGRAMPH1_01T09133,5.317369501,2.763120544,0.001063069,0.003011069
FGRAMPH1_01T09135,2.754308627,2.645499852,1.81E-07,9.47E-07
FGRAMPH1_01T09139,-1.308970825,4.38626778,0.004475378,0.010866995
FGRAMPH1_01T09147,5.45408227,0.027415586,0.002198312,0.005770096
FGRAMPH1_01T09149,7.399283361,1.655129471,2.18E-05,8.53E-05
FGRAMPH1_01T09165,6.112108787,6.559501047,3.58E-32,1.29E-30
FGRAMPH1_01T09175,1.453534176,3.816246517,0.012622402,0.027035455
FGRAMPH1_01T09181,1.37816328,4.347832348,4.00E-07,2.00E-06
FGRAMPH1_01T09183,-1.43834812,5.686742989,0.000159597,0.000536231
FGRAMPH1_01T09187,1.506448372,5.445224576,0.003092111,0.007823356
FGRAMPH1_01T09193,-0.96039805,6.035229488,0.01314176,0.02797604
FGRAMPH1_01T09205,-5.376715695,0.591807288,7.31E-08,4.01E-07
FGRAMPH1_01T09207,-4.291402137,4.090532207,2.70E-18,3.70E-17
FGRAMPH1_01T09213,7.49927927,3.714529834,4.42E-25,9.37E-24
FGRAMPH1_01T09215,9.071236968,2.371141557,6.46E-11,4.85E-10
FGRAMPH1_01T09219,3.366641069,4.431794681,0.007192911,0.016500553
FGRAMPH1_01T09223,1.876489596,3.511691701,0.001070622,0.003028364
FGRAMPH1_01T09225,1.945032093,4.694886697,1.25E-05,5.07E-05
FGRAMPH1_01T09227,1.756403951,3.055703179,0.00048398,0.001475922
FGRAMPH1_01T09233,4.038695859,1.747803157,9.51E-06,3.94E-05
FGRAMPH1_01T09235,-4.215766778,0.598409612,0.000908974,0.002616396
FGRAMPH1_01T09241,-1.034817114,3.961417945,0.002271262,0.005938085
FGRAMPH1_01T09249,4.967280663,6.367245648,0.007610981,0.017341832
FGRAMPH1_01T09253,1.680666666,2.383012434,0.000343487,0.001081525
FGRAMPH1_01T09259,2.850636901,1.520943838,0.007977889,0.018075498
FGRAMPH1_01T09263,4.841333748,3.995130515,1.25E-20,2.00E-19
FGRAMPH1_01T09269,-4.070151795,2.713282028,4.43E-14,4.39E-13
FGRAMPH1_01T09277,-1.651184082,3.855762944,2.96E-06,1.32E-05
FGRAMPH1_01T09287,-2.651439707,1.09225919,0.001126047,0.003172276
FGRAMPH1_01T09291,10.32365486,5.583573162,6.48E-33,2.47E-31
FGRAMPH1_01T09293,5.536605013,4.889647078,1.54E-10,1.11E-09
FGRAMPH1_01T09295,1.161389838,2.678688244,0.00475911,0.011473402
FGRAMPH1_01T09315,2.28485811,3.986099305,8.84E-07,4.23E-06
FGRAMPH1_01T09319,-0.837383857,5.796369364,0.009184919,0.020468084
FGRAMPH1_01T09327,1.006657194,6.043091773,0.006136073,0.014311577
FGRAMPH1_01T09329,5.675336336,4.530190374,1.52E-23,2.92E-22
FGRAMPH1_01T09331,5.467149061,1.37854775,0.001637548,0.004425017
FGRAMPH1_01T09333,6.136407144,0.470935721,0.0002234,0.000730221
FGRAMPH1_01T09335,6.310809172,0.499291823,0.002705439,0.00694821
FGRAMPH1_01T09337,7.152914038,4.577331694,3.14E-09,1.99E-08
FGRAMPH1_01T09353,9.649947584,3.199078963,1.49E-21,2.53E-20
FGRAMPH1_01T09367,6.01220656,0.555241303,0.002092914,0.005521472
FGRAMPH1_01T09371,5.058427682,0.545104051,0.000437492,0.001347902
FGRAMPH1_01T09373,-1.902970363,0.615937532,0.004171523,0.010209741
FGRAMPH1_01T09375,3.185147904,4.561936496,0.013410839,0.028495374
